date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,8.8,7,10,0.5,,195,15.4,35.2,1004.8,
2023-01-02,4.3,-1,7,0,,226,8,18.5,1015.8,
2023-01-03,7.6,-1,12,3,,176,18.1,42.6,1013.6,
2023-01-04,12,11,13,1.1,,241,19,42.6,1011.3,
2023-01-05,10.6,8,12,0,,202,15.3,37,1014.8,
2023-01-06,8.5,6,12,6.2,,201,15.7,35.2,1009.9,
2023-01-07,10.1,7,12,9.7,,185,22.3,46.3,994.8,
2023-01-08,6.3,4,8,0.5,,187,15.6,38.9,988.6,
2023-01-09,5.8,4,8,0,,250,15.2,38.9,1000.1,
2023-01-10,8.6,4,13,8.7,,195,18.3,46.3,1003.2,
2023-01-11,7.7,7,10,5.4,,219,15,44.5,1004.3,
2023-01-12,10,8,12,4.5,,229,20.2,46.3,998.3,
2023-01-13,7.9,6,10,0.7,,252,22.8,48.2,1005.9,
2023-01-14,7.6,4,11,7.5,,229,20,40.8,996.1,
2023-01-15,4.7,2,7,0,,231,14.3,38.9,994.7,
2023-01-16,1.3,-3,3,0.2,,307,14.9,29.6,987.1,
2023-01-17,-1.2,-6,3,0,,281,8.4,18.5,989.1,
2023-01-18,1.9,-1,5,0,,280,13.5,25.9,997.6,
2023-01-19,1.5,-2,4,0,,275,10.4,20.4,1007.4,
2023-01-20,2.8,-2,6,0,,311,12,20.4,1019.7,
2023-01-21,-2.5,-6,3,0,,193,5.5,16.7,1032.5,
2023-01-22,-1.3,-6,3,0,,159,7.3,16.7,1034.1,
2023-01-23,0.9,-3,6,0,,157,7,14.8,1036.6,
2023-01-24,0.3,-5,6,0,,227,5.4,14.8,1038.3,
2023-01-25,5.2,3,10,0.4,,263,11.2,24.1,1031.9,
2023-01-26,4.2,0,8,0,,339,13.4,29.6,1032.3,
2023-01-27,4.2,3,5,0,,356,9.6,22.2,1031.9,
2023-01-28,5,3,6,0,,281,7.9,16.7,1031.2,
2023-01-29,6.4,4,9,0,,237,13,29.6,1024.2,
2023-01-30,6.8,4,9,0.1,,276,15.4,27.8,1024.3,
2023-01-31,7.5,5,10,0,,259,18.2,38.9,1022.9,
2023-02-01,8.1,6,10,0.3,,270,19.1,38.9,1022.8,
2023-02-02,9.3,7,11,0,,258,17.7,35.2,1025.1,
2023-02-03,10.3,8.2,13,0,,265,12.8,31.5,1030.4,
2023-02-04,8.4,7.2,9,0,,243,11.3,24.1,1037.1,
2023-02-05,2.7,-4,7,0,,294,8,22.2,1045.1,
2023-02-06,0.6,-5,8,0,,189,6.4,18.5,1040.8,
2023-02-07,1.3,-4,9,0,,193,4.7,14.8,1037.8,
2023-02-08,1.5,-5,8,0,,170,9.1,22.2,1032.3,
2023-02-09,4.6,0,9,0,,268,9.2,20.4,1032.1,
2023-02-10,4.3,-2,9,0,,221,9.8,25.9,1034.7,
2023-02-11,9,8,10,0,,262,9.1,22.2,1035.6,
2023-02-12,7.2,6,8,0,,164,9,20.4,1036.2,
2023-02-13,5.5,0,9,0,,163,11.3,20.4,1032.5,
2023-02-14,4,-1,11,0,,158,8.4,18.5,1029,
2023-02-15,5.4,0,12,0,,183,9.5,27.8,1021,
2023-02-16,9.9,7,13,3.5,,210,13.6,29.6,1017.2,
2023-02-17,12.3,10,16,0.2,,245,18.8,48.2,1018.7,
2023-02-18,11.6,10,14,0,,255,17.4,38.9,1018.9,
2023-02-19,9.3,7,13,0,,268,14.4,29.6,1025.2,
2023-02-20,10.1,7,13,0,,245,14.8,37,1021.4,
2023-02-21,8.1,7,9,1.2,,210,9.3,20.4,1016.1,
2023-02-22,6.8,5,9,0.8,,279,13.8,25.9,1011.5,
2023-02-23,5.2,1,8,1.2,,350,16.8,31.5,1019.9,
2023-02-24,6.5,2,11,0.5,,339,14.2,24.1,1014,
2023-02-25,4.3,1,7,0,,1,17.1,35.2,1019.5,
2023-02-26,3.4,-1,8,0,,13,13.3,33.3,1028.8,
2023-02-27,4.5,0,7,0,,20,12.8,31.5,1033.2,
2023-02-28,5.3,4,7,1.6,,6,13.6,31.5,1034.1,
2023-03-01,5.3,4,7,0.6,,23,14.1,33.3,1030.1,
2023-03-02,4.8,3,7,0,,47,13.5,27.8,1027.3,
2023-03-03,4.3,3,6,0,,27,11.3,24.1,1030.1,
2023-03-04,4.2,4,5,0,,4,10.7,18.5,1029.9,
2023-03-05,3.7,2,5,0.3,,287,9.8,18.5,1017.9,
2023-03-06,5,3,8,2.6,,264,12.2,25.9,1004.3,
2023-03-07,2.6,-2,6,1.3,,330,8.9,20.4,999.3,
2023-03-08,0.1,-2,2,2.8,,72,14.7,38.9,992.3,
2023-03-09,0.6,0,2,10.4,,71,14.9,40.8,990.6,
2023-03-10,1.1,-3,5,7.2,,359,18.1,50,1000.2,
2023-03-11,1.3,-5,6,3.1,,156,12.5,25.9,1007.5,
2023-03-12,9.3,5,13,3.5,,211,14.7,38.9,1001.9,
2023-03-13,11.2,7,14,3.9,,217,24.3,72.2,985.3,
2023-03-14,4.4,1,8,4,,298,18.6,33.3,1003.9,
2023-03-15,2.8,-4,7,2.9,,171,12.1,27.8,1013.2,
2023-03-16,10,7,12,2.6,,181,15.7,37,1002.9,
