date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,9.1,7,11,2,,217,20.2,35.2,1005.7,
2023-01-02,5.3,2,8,0.8,,294,12.3,14.8,1016.7,
2023-01-03,9.5,5,12,11.8,,196,18.4,46.3,1014.4,
2023-01-04,10.9,10,12,1.9,,259,32,55.5,1015,
2023-01-05,10.7,8,12,5.9,,246,20.5,38.9,1016.9,
2023-01-06,9.4,8,12,11.9,,210,17,35.2,1010.8,
2023-01-07,9.8,7,11,23.5,,210,23.9,40.8,995.3,
2023-01-08,7.3,6,8,10.3,,227,21.6,29.6,989.6,
2023-01-09,7.2,6,8,2.8,,285,30.1,44.5,1003.8,
2023-01-10,9.9,6,13,7.6,,225,22.2,48.2,1005.3,
2023-01-11,8.7,7,10,14.1,,260,31.4,59.3,1007.5,
2023-01-12,10.2,8,11,14,,259,38.7,63,1002.5,
2023-01-13,8.2,6,10,4.1,,263,29.2,57.4,1010,
2023-01-14,8.4,5,12,12,,257,27.7,46.3,999.1,
2023-01-15,6.1,4,8,10.5,,266,24.3,44.5,996.9,
2023-01-16,2.6,-2,5,0.3,,342,15.4,27.8,988.6,
2023-01-17,-0.4,-3,4,0,,349,10.3,14.8,990.3,
2023-01-18,1.6,-1,4,0,,304,16.4,25.9,1000.5,
2023-01-19,1.8,0,6,0,,324,10.5,16.7,1009.2,
2023-01-20,1.7,-1,7,0,,327,9.2,13,1021.1,
2023-01-21,0.3,-2,2,0,,60,11.6,14.8,1031.9,
2023-01-22,2.5,-1,5,0,,112,12.5,11.1,1033.8,
2023-01-23,1.8,-1,5,0,,91,10.2,9.3,1036.6,
2023-01-24,0.9,-2,5,0,,50,6.6,9.3,1038.7,
2023-01-25,3.8,-1,8,0.2,,341,8.9,24.1,1033.3,
2023-01-26,5.3,3,8,0,,6,13.1,25.9,1032.6,
2023-01-27,3.9,3,5,0,,17,10.3,22.2,1032.1,
2023-01-28,4,2,6,0,,314,6.8,13,1032.5,
2023-01-29,6.9,4,9,1.7,,265,17.3,25.9,1026.7,
2023-01-30,6.7,4,9,0,,291,18.4,24.1,1026.7,
2023-01-31,8,7,10,0.3,,277,23.2,33.3,1026.3,
2023-02-01,8.1,7,10,0,,281,23.9,38.9,1026.9,
2023-02-02,8.7,8,9,0,,268,26.9,38.9,1028.3,
2023-02-03,9.1,7.8,10,0.4,,273,23.9,33.3,1032.9,
2023-02-04,8.5,8,9,0.1,,257,13.1,22.2,1038.4,
2023-02-05,4.9,1,9,0,,65,10.3,16.7,1045.2,
2023-02-06,3.1,-1,8,0,,99,9.4,11.1,1040.8,
2023-02-07,2.7,0,8,0,,69,7.6,9.3,1037.8,
2023-02-08,2.9,-2,7,0,,94,8.9,13,1032.9,
2023-02-09,6.5,2,9,0,,297,12.1,18.5,1033,
2023-02-10,4.9,-1,8,0,,278,10.9,18.5,1036.6,
2023-02-11,8.4,7,10,0,,290,11.4,14.8,1036.6,
2023-02-12,7.3,7,9,0,,107,13.1,20.4,1035.6,
2023-02-13,6.9,4,10,0,,126,18.2,18.5,1031.8,
2023-02-14,6.8,3,11,2.2,,101,15.4,18.5,1028.2,
2023-02-15,6.8,3,10,2,,152,11.7,22.2,1021.9,
2023-02-16,8.9,8,10,6.2,,243,20.4,33.3,1019.3,
2023-02-17,9.5,9,10,2.6,,265,28.5,42.6,1022.8,
2023-02-18,9.5,8,10,1.5,,267,29.2,44.5,1022.4,
2023-02-19,8.3,7,10,0,,280,22.3,29.6,1027.8,
2023-02-20,8.3,7,10,0,,267,23.7,33.3,1024.3,
2023-02-21,7.5,7,9,0.3,,219,7.5,14.8,1017,
2023-02-22,6.4,3,9,2.7,,289,17.1,31.5,1012.8,
2023-02-23,5.4,1,8,2.2,,23,20.1,33.3,1019.9,
2023-02-24,5.9,0,11,0.1,,341,13.1,22.2,1014.8,
2023-02-25,4.4,1,7,0,,41,19.2,29.6,1018.9,
2023-02-26,4.7,2,8,0,,55,19.4,33.3,1027.9,
2023-02-27,4.7,1,8,0,,50,18,29.6,1032.3,
2023-02-28,5.6,2,8,0.1,,29,14,27.8,1033.8,
2023-03-01,6,4,8,0.2,,52,17.6,27.8,1029.6,
2023-03-02,5,2,8,0,,53,13.9,24.1,1026.4,
2023-03-03,3.8,2,6,0,,52,14.6,22.2,1029.8,
2023-03-04,4.5,4,5,0,,39,8.8,18.5,1030.1,
2023-03-05,3.7,2,6,0,,315,10.1,20.4,1019.5,
2023-03-06,6.3,4,8,3.6,,282,20.5,31.5,1006.1,
2023-03-07,3.8,1,6,5.8,,44,11.1,22.2,999.5,
2023-03-08,0.8,0,3,17.1,,66,27.6,29.6,989.1,
2023-03-09,3.5,1,7,12.1,,69,17.9,22.2,987.8,
2023-03-10,4,1,6,3.2,,28,15.7,40.8,1000.7,
2023-03-11,4.7,2,9,9.3,,123,18.3,25.9,1006.7,
2023-03-12,10,9,12,4.3,,246,18.6,35.2,1004.1,
2023-03-13,10.8,7,13,8.2,,246,29,59.3,987.9,
2023-03-14,5.7,2,10,0.3,,299,20.5,37,1006.2,
2023-03-15,5.3,0,9,7,,140,12.3,24.1,1012.9,
2023-03-16,9.5,9,11,11,,176,13.8,25.9,1003.1,
2023-03-17,10.2,7,13,3.5,,155,11.6,25.9,1001.3,
2023-03-18,9.6,6,13,1.2,,235,13.9,22.2,1006,
2023-03-19,6.7,4,10,1.2,,278,15,25.9,1017.2,
2023-03-20,9.8,8,11,5.9,,203,8.7,22.2,1014.6,
2023-03-21,10.4,9,12,6.6,,223,17.7,46.3,1006.3,
2023-03-22,10.8,8,14,9.1,,230,22.5,40.8,996.9,
2023-03-23,9.6,8,13,3.8,,223,16.5,40.8,994.5,
2023-03-24,9.4,7,12,9,,246,26.2,51.8,996.5,
2023-03-25,9.4,8,11,8.2,,257,28.1,50,1003.6,
2023-03-26,7.8,6,10,13.3,,52,12.5,25.9,1007.9,
2023-03-27,7.5,5,11,0,,102,11.6,18.5,1023.9,
2023-03-28,8.3,7,10,4.9,,161,15.8,29.6,1015.3,
2023-03-29,10.9,9,13,9.4,,183,12.2,29.6,1005.8,
2023-03-30,11.3,10,14,10.7,,239,23.2,40.8,1000.4,
2023-03-31,9.6,9,10,12.9,,256,29.4,48.2,989.3,
