date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,9.3,7.8,10.8,,,210,17.8,44.5,1008.4,
2023-01-02,5.6,2.6,7.6,,,235,9,22.2,1016.7,
2023-01-03,8,3.4,11.7,,,191,20.9,48.2,1018.6,
2023-01-04,11.5,9.8,12.8,,,246,30,53.7,1014.5,
2023-01-05,10.1,8.6,11.5,,,231,19,42.6,1018.7,
2023-01-06,9.1,6.7,10.6,,,213,18.1,44.5,1013.6,
2023-01-07,9.5,7.3,10.5,,,198,25.8,48.2,1001,
2023-01-08,6.8,5.1,7.7,,,206,18.7,40.8,993.3,
2023-01-09,5.2,3.8,7.1,,,264,20.4,42.6,1001,
2023-01-10,7.9,3.4,11.9,,,212,21.7,50,1008.4,
2023-01-11,8.2,6.7,9.8,,,241,25.4,50,1008.4,
2023-01-12,9.9,6.9,11.2,,,241,31.5,63,1003.2,
2023-01-13,6.8,5.4,9,,,251,27.5,51.8,1008.3,
2023-01-14,8.2,4.5,11,,,232,26.4,51.8,1000.4,
2023-01-15,4.2,2.9,6.6,,,239,21.2,44.5,998,
2023-01-16,1.6,-2.4,3.2,,,340,17.4,42.6,986.5,
2023-01-17,-2.1,-3.9,0.4,,,311,6.1,16.7,989.7,
2023-01-18,-0.5,-3,2.6,,,270,13.1,29.6,998.4,
2023-01-19,-0.4,-2.3,2.4,,,274,9.4,22.2,1008.2,
2023-01-20,1.4,-0.4,4.6,,,306,14.8,29.6,1019,
2023-01-21,0.6,-1.8,4.6,,,31,6.8,20.4,1032.6,
2023-01-22,-0.9,-2.3,1.8,,,1,4,13,1035.8,
2023-01-23,-1.3,-4.2,1.9,,,1,5.8,16.7,1037.9,
2023-01-24,0.9,-0.9,3.5,,,12,6.5,16.7,1039.3,
2023-01-25,1.4,-1.2,4,,,268,9.3,27.8,1033.3,
2023-01-26,3.3,1.7,5.6,,,353,17.2,33.3,1030.2,
2023-01-27,3.3,0.8,5.7,,,7,13.4,29.6,1030.8,
2023-01-28,2.4,0.2,5.3,,,294,7.2,18.5,1031.9,
2023-01-29,4.5,1.2,7.5,,,243,14,29.6,1026.6,
2023-01-30,6.1,3.4,8.1,,,277,16.4,35.2,1024.7,
2023-01-31,6,3.7,9.9,,,260,17.3,38.9,1025,
2023-02-01,6,3.7,8.8,,,263,21.5,42.6,1024.6,
2023-02-02,7.5,5.1,10.5,,,260,20,40.8,1027,
2023-02-03,8.8,6.3,11.3,,,266,18.2,33.3,1031.5,
2023-02-04,6.9,5.5,9.4,,,261,9.9,22.2,1037.8,
2023-02-05,4.4,1.8,6.8,,,349,11.3,25.9,1044.4,
2023-02-06,2.5,-0.2,7.1,,,155,4.9,14.8,1042.2,
2023-02-07,1.4,-0.6,5.2,,,143,5.1,14.8,1039.2,
2023-02-08,1.1,-2.1,5.8,,,175,7.5,20.4,1035.1,
2023-02-09,3.2,0.8,7.5,,,269,9.2,24.1,1033,
2023-02-10,3.9,0.1,7.5,,,236,11.2,27.8,1036.7,
2023-02-11,7.7,6.3,10.2,,,256,9.3,20.4,1036.7,
2023-02-12,6.7,5.5,8.7,,,148,6.9,18.5,1037.5,
2023-02-13,5.9,3.6,9.7,,,133,9,22.2,1034.5,
2023-02-14,6.1,2.5,11.6,,,156,8.2,20.4,1030.9,
2023-02-15,7.3,3.3,12.1,,,192,11.8,29.6,1023.7,
2023-02-16,9,6.5,11.7,,,222,15.8,31.5,1020.1,
2023-02-17,11.6,10.1,13.6,,,252,25.2,48.2,1021.2,
2023-02-18,10.8,8.8,13,,,254,23.6,42.6,1021.1,
