date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,9.9,4.4,15.6,0,,0,7.2,,1021.7,
2021-01-02,11.8,10.6,13.9,3.6,,28,3.6,,1024.1,
2021-01-03,11.4,9.4,13.3,0,,8,4.7,,1024.1,
2021-01-04,13.2,7.8,16.7,9.1,,191,16.2,,1021.3,
2021-01-05,9.9,5.6,15,0,,36,7.6,,1025.2,
2021-01-06,10,4.4,15,0.8,,10,7.6,,1024,
2021-01-07,11.1,7.8,15,0,,55,8.6,,1023.7,
2021-01-08,12,8.9,16.1,0,,329,6.5,,1024.9,
2021-01-09,9.9,2.8,15.6,0,,340,7.2,,1024.9,
2021-01-10,11,5,16.7,0,,15,7.2,,1025.1,
2021-01-11,11.1,5,16.1,0,,1,7.2,,1024.2,
2021-01-12,12.4,8.3,16.7,0,,356,4.7,,1026,
2021-01-13,13.8,8.3,18.9,0,,344,7.2,,1028.1,
2021-01-14,13.8,8.3,21.7,0,,342,8.3,,1026.8,
2021-01-15,13.3,6.7,19.4,0,,333,5,,1025.7,
2021-01-16,14,7.8,21.7,0,,326,6.1,,1021.7,
2021-01-17,15.3,6.7,23.3,0,,321,6.1,,1018.7,
2021-01-18,19.2,10.6,28.3,0,,322,10.8,,1013.9,
2021-01-19,17.2,13.3,20.6,0,,20,29.9,,1015.1,
2021-01-20,13.3,6.1,20,0,,325,7.9,,1019.3,
2021-01-21,10,3.9,15,0,,329,9.4,,1018,
2021-01-22,11.3,7.2,13.9,2,,237,12.6,,1013,
2021-01-23,10.9,6.7,15,0,,347,9.7,,1014.6,
2021-01-24,10.6,6.1,13.3,2.5,,255,19.8,,1013,
2021-01-25,10.4,7.2,13.9,0,,307,27.4,,1010.5,
2021-01-26,7.6,1.1,12.2,9.9,,129,27,,1012.1,
2021-01-27,11.1,8.9,13.3,13.5,,144,25.2,,1007,
2021-01-28,11.5,9.4,13.9,13.5,,140,15.1,,1007.4,
2021-01-29,10.6,6.1,13.9,6.6,,167,7.6,,1013.3,
2021-01-30,11.7,7.8,15.6,0,,108,6.8,,1021.5,
2021-01-31,14,11.1,17.2,0,,11,6.1,,1020.6,
2021-02-01,13.6,7.2,19.4,17,,110,10.8,,1016.6,
2021-02-02,13.8,8.9,16.7,5.8,,217,9.7,,1019.9,
2021-02-03,11,5,15.6,0,,310,10.8,,1024,
2021-02-04,11.3,5.6,17.2,0,,337,7.9,,1024.4,
2021-02-05,11.4,4.4,19.4,0,,345,6.1,,1022.7,
2021-02-06,12.5,5.6,21.1,0,,338,6.5,,1019.2,
2021-02-07,12.4,5.6,20.6,0,,344,5.8,,1015.8,
2021-02-08,11.1,5.6,15.6,0,,331,8.6,,1015.3,
2021-02-09,13.2,10.6,15.6,0,,296,7.9,,1017.5,
2021-02-10,13.3,9.4,16.1,0,,264,9.7,,1019.6,
2021-02-11,12.3,8.9,15.6,11.9,,57,9,,1017.8,
2021-02-12,13.8,11.7,16.7,0,,285,20.9,,1017.3,
2021-02-13,14.3,11.1,17.2,0.3,,281,23.4,,1017.3,
2021-02-14,11.8,7.2,15,2.3,,150,8.6,,1019.3,
2021-02-15,13.8,12.2,16.1,6.1,,216,20.5,,1019,
2021-02-16,12.1,6.7,15.6,0,,318,8.6,,1021.3,
2021-02-17,12.4,5,20,0,,347,8.3,,1022.9,
2021-02-18,12.3,5,18.9,0,,343,9.4,,1027,
2021-02-19,13.4,11.1,15.6,0.8,,303,13,,1026.5,
2021-02-20,13.7,11.1,17.8,0.3,,305,19.8,,1027.5,
2021-02-21,13.1,6.7,18.9,0,,328,7.6,,1030.6,
2021-02-22,16,8.3,25,0,,359,12.6,,1025.3,
2021-02-23,15.8,8.3,28.9,0,,288,9.4,,1020.3,
2021-02-24,15.7,6.7,24.4,0,,343,12.2,,1022,
2021-02-25,14.2,7.2,19.4,0,,289,10.8,,1024.4,
2021-02-26,12.2,6.7,17.8,0,,311,12.2,,1021.6,
2021-02-27,12.9,7.8,18.3,0,,328,16.6,,1021.5,
2021-02-28,14.3,6.1,22.8,0,,337,10.8,,1022.2,
2021-03-01,13.7,6.1,21.1,0,,335,8.3,,1020,
2021-03-02,13,7.2,18.9,0,,294,10.1,,1013.7,
2021-03-03,12.5,8.3,17.8,0,,298,12.6,,1010.4,
2021-03-04,12.8,6.7,18.3,0,,321,8.6,,1023.2,
2021-03-05,13.5,6.1,19.4,3.8,,283,15.5,,1020.6,
2021-03-06,12,6.7,16.1,0.5,,294,15.8,,1020.6,
2021-03-07,11.4,5,17.2,0,,293,14.4,,1019.9,
2021-03-08,13.1,11.1,16.7,0,,231,19.8,,1022,
2021-03-09,12.3,9.4,16.7,4.1,,175,20.2,,1019.2,
2021-03-10,10.7,7.2,13.3,16.8,,180,15.8,,1014.2,
2021-03-11,10.6,7.2,15.6,1.5,,1,14.4,,1018.7,
2021-03-12,11.7,6.1,18.3,0,,200,13,,1021.2,
2021-03-13,12.3,11.1,15,0,,265,22.7,,1025.9,
2021-03-14,12.7,9.4,16.7,4.6,,203,23,,1022.6,
2021-03-15,10.8,8.3,15,0,,303,22,,1017,
2021-03-16,10,4.4,15,0,,253,13.7,,1018.3,
2021-03-17,10.8,6.1,15,0,,214,9.4,,1019.7,
2021-03-18,13.2,11.1,15,9.9,,155,14.8,,1019.2,
